gi4_nodered_1881
date,stream,content
2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Started flows

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Starting flows

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [warn] Using unencrypted credentials

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Flows file     : /data/projects/gi4_db_tasks/flows.json

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Active project : gi4_db_tasks

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Server now running at http://127.0.0.1:1880/

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Projects directory: /data/projects

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] User directory : /data

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Context store  : 'default' [module=memory]

2026/05/05 06:44:53,stdout,5 May 06:44:53 - [info] Settings file  : /data/settings.js

2026/05/05 06:44:52,stdout,5 May 06:44:52 - [info] Dashboard version 3.6.5 started at /ui

2026/05/05 06:44:43,stdout,5 May 06:44:43 - [info] Loading palette nodes

2026/05/05 06:44:42,stdout,5 May 06:44:42 - [info] Linux 5.10.55+ x64 LE

2026/05/05 06:44:42,stdout,5 May 06:44:42 - [info] Node.js  version: v20.19.4

2026/05/05 06:44:42,stdout,5 May 06:44:42 - [info] Node-RED version: v4.1.0

2026/05/05 06:44:42,stdout,

2026/05/05 06:44:42,stdout,===================

2026/05/05 06:44:42,stdout,Welcome to Node-RED

2026/05/05 06:44:42,stdout,

2026/05/05 06:44:42,stdout,5 May 06:44:42 - [info] 

2026/05/05 06:44:42,stdout,[uuid] ACTIVATED

2026/05/05 06:44:42,stdout,[path] ACTIVATED

2026/05/05 06:44:42,stdout,[fs] ACTIVATED

2026/05/05 06:44:42,stdout,[OPCUA] OPCUA nodes will be DISABLED (PLC_TYPE != OPC-UA)

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: RECIPE_CONF_TYPE = NODERED

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: FLY_RUN_STATUS = ICO_FUNZ_IPM_0_1_11_21

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: LOT_TERMINATE_TYPE = PLC

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: PLC_TYPE = S7

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: PROD_RESUME_TYPE = NO

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: TRACKING_DETAIL_INDEX_MADATORY = false

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: TRACKING_ANSWERS_ERR = 0

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: LOT_CONF_TYPE = GI4

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: TRACKING_DETAIL_MANDATORY = false

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: PROD_STATUS_TYPE = NODERED

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: USE_GI4_DB = true

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: TRACKING_TYPE = PROD_GOOD_BAD

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: TRACKING_ANSWERS_OK = 0

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: FLY_PROD_GOOD_BAD = YES_GOOD_BAD_01

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: AUTO_LOTTO = 0

2026/05/05 06:44:42,stdout,[appParams] Overridden from ENV: waitSecOnRecipeChange = 3

2026/05/05 06:44:42,stdout,[appParams] CREATED with configuration nessuno and path /data/projects/

2026/05/05 06:44:42,stdout,"Creation TAppParams(nessuno, /data/projects/)
"
2026/05/05 06:44:42,stdout,TAppParams ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TAppParams.js

2026/05/05 06:44:42,stdout,TValueSendWait ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TValueSendWait.js

2026/05/05 06:44:42,stdout,TValueOpcDisp ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TValueOpcDisp.js

2026/05/05 06:44:42,stdout,TStsDisp ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TStsDisp.js

2026/05/05 06:44:42,stdout,TSetValueOnTag ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TSetValueOnTag.js

2026/05/05 06:44:42,stdout,TQuery ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TQuery.js

2026/05/05 06:44:42,stdout,TQueries ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TQueries.js

2026/05/05 06:44:42,stdout,TFormatSQL ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TFormatSQL.js

2026/05/05 06:44:42,stdout,TDebugGem ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TDebugGem.js

2026/05/05 06:44:42,stdout,TConvKeysightE4980 ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TConvKeysightE4980.js

2026/05/05 06:44:42,stdout,TConvert ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TConvert.js

2026/05/05 06:44:42,stdout,TConsoleGem ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TConsoleGem.js

2026/05/05 06:44:42,stdout,TBaseMacchinaStatiValueTag ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TBaseMacchinaStatiValueTag.js

2026/05/05 06:44:42,stdout,TBaseMacchinaStatiDB ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TBaseMacchinaStatiDB.js

2026/05/05 06:44:42,stdout,TBaseMacchinaStati ACTIVATED from /data/projects/gem-lib-nodered/GemLibsJs/TBaseMacchinaStati.js

