gi4_mariadb
date,stream,content
2026/05/07 08:49:34,stderr,2026-05-07  8:49:34 41835 [Warning] Aborted connection 41835 to db: 'unconnected' user: 'root' host: '172.19.0.2' (Got an error reading communication packets)

2026/05/06 02:08:05,stderr,2026-05-06  2:08:05 13893 [Warning] Aborted connection 13893 to db: 'unconnected' user: 'unauthenticated' host: '172.19.0.1' (This connection closed normally without authentication)

2026/05/05 10:52:03,stderr,Version: '11.8.2-MariaDB-ubu2404-log'  socket: '/run/mysqld/mysqld.sock'  port: 3306  mariadb.org binary distribution

2026/05/05 10:52:03,stderr,2026-05-05 10:52:03 0 [Note] mariadbd: ready for connections.

2026/05/05 10:52:03,stderr,2026-05-05 10:52:03 1 [Note] Event Scheduler: scheduler thread started with id 1

2026/05/05 10:52:03,stderr,2026-05-05 10:52:03 0 [Note] mariadbd: Event Scheduler: Loaded 7 events

2026/05/05 10:52:03,stderr,2026-05-05 10:52:03 0 [Note] Server socket created on IP: '::'.

2026/05/05 10:52:03,stderr,2026-05-05 10:52:03 0 [Note] Server socket created on IP: '0.0.0.0'.

2026/05/05 10:52:01,stderr,2026-05-05 10:52:01 0 [Note] InnoDB: Buffer pool(s) load completed at 260505 10:52:01

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] Plugin 'wsrep-provider' is disabled.

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] Plugin 'FEEDBACK' is disabled.

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: log sequence number 13469860055; transaction id 20002595

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: 128 rollback segments in 3 undo tablespaces are active.

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Opened 3 undo tablespaces

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: End of log at LSN=13469860055

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Completed initialization of buffer pool

2026/05/05 10:52:00,stderr,"2026-05-05 10:52:00 0 [Note] InnoDB: innodb_buffer_pool_size_max=4096m, innodb_buffer_pool_size=4096m
"
2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Warning] InnoDB: liburing disabled: falling back to innodb_use_native_aio=OFF

2026/05/05 10:52:00,stderr,"2026-05-05 10:52:00 0 [Warning] mariadbd: io_uring_queue_init() failed with ENOMEM: try larger memory locked limit, ulimit -l, or https://mariadb.com/kb/en/systemd/#configuring-limitmemlock under systemd (262144 bytes required)
"
2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] mariadbd: O_TMPFILE is not supported on /tmp (disabling future attempts)

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Number of transaction pools: 1

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] InnoDB: Compressed tables use zlib 1.3

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Warning] --innodb-flush-method is deprecated and will be removed in a future release

2026/05/05 10:52:00,stderr,2026-05-05 10:52:00 0 [Note] Starting MariaDB 11.8.2-MariaDB-ubu2404-log source revision 8d36cafe4fc700e6e577d5a36650c58707e76b92 server_uid 7w5IacVwpZZVmMzh5ctmPx+xDuw= as process 1

2026/05/05 10:52:00,stdout,2026-05-05 10:52:00+02:00 [Note] [Entrypoint]: MariaDB upgrade not required

2026/05/05 10:51:59,stdout,2026-05-05 10:51:59+02:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.8.2+maria~ubu2404 started.

2026/05/05 10:51:59,stdout,2026-05-05 10:51:59+02:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'

2026/05/05 10:51:59,stderr,"1:name=systemd:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17/memory.pressure not writable, functionality unavailable to MariaDB
"
2026/05/05 10:51:59,stderr,2:name=synomonitor:/system.slice/pkg-ContainerManager-dockerd.service

2026/05/05 10:51:59,stderr,3:cpuacct:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 10:51:59,stderr,4:freezer:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 10:51:59,stderr,5:cpuset:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 10:51:59,stderr,6:devices:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 10:51:59,stderr,7:cpu:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 10:51:59,stderr,2026-05-05 10:51:59+02:00 [Warn] [Entrypoint]: /sys/fs/cgroup/emory:/docker/1c8072d92e03080a8809b67657de6143208ed6c4212bb76782b609ba2e4edc17

2026/05/05 10:51:59,stdout,2026-05-05 10:51:59+02:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.8.2+maria~ubu2404 started.

2026/05/05 10:51:59,stderr,2026-05-05 10:51:59 0 [Note] mariadbd: Shutdown complete

2026/05/05 10:51:59,stderr,2026-05-05 10:51:59 0 [Note] Event Scheduler: Purging the queue. 7 events

2026/05/05 10:51:59,stderr,2026-05-05 10:51:59 0 [Note] InnoDB: Shutdown completed; log sequence number 13469860055; transaction id 20002594

2026/05/05 10:51:59,stderr,2026-05-05 10:51:59 0 [Note] InnoDB: Removed temporary tablespace data file: "./ibtmp1"

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] InnoDB: Buffer pool(s) dump completed at 260505 10:51:57

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] InnoDB: Dumping buffer pool(s) to /var/lib/mysql/ib_buffer_pool

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] InnoDB: Starting shutdown...

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] InnoDB: FTS optimize thread exiting.

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] Event Scheduler: Stopped

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3722 [Note] Event Scheduler: [root@%].[GI4.ev_CleanJobCode] event execution failed.

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3722 [Note] Event Scheduler: [root@%][GI4.ev_CleanJobCode] At line 34 in GI4.ev_cleanjobcode

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3722 [ERROR] Event Scheduler: [root@%][GI4.ev_CleanJobCode] Server shutdown in progress

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3597 [Note] Event Scheduler: [root@%].[GI4.ev_EveryMinute] event execution failed.

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3597 [Note] Event Scheduler: [root@%][GI4.ev_EveryMinute] At line 63 in GI4.ev_everyminute

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3597 [ERROR] Event Scheduler: [root@%][GI4.ev_EveryMinute] Server shutdown in progress

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3589 [Note] Event Scheduler: [root@%].[GI4.ev_CheckIotPlcOnline] event execution failed.

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3589 [Note] Event Scheduler: [root@%][GI4.ev_CheckIotPlcOnline] At line 56 in GI4.ev_checkiotplconline

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3589 [ERROR] Event Scheduler: [root@%][GI4.ev_CheckIotPlcOnline] Server shutdown in progress

2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 0 [Note] Event Scheduler: Waiting for the scheduler thread to reply

2026/05/05 10:51:57,stderr,"2026-05-05 10:51:57 0 [Note] Event Scheduler: Killing the scheduler thread, thread id 1
"
2026/05/05 10:51:57,stderr,2026-05-05 10:51:57 3636 [Note] Event Scheduler: [root@%].[GI4.ev_kill_long_running_sp] event execution failed.

