gi4_nodered_1881
date,stream,content
2026/05/07 08:49:51,stdout,7 May 08:49:51 - [error] [function:ms_OEEtasks] dbErrorEnd - null

2026/05/07 08:49:49,stdout,7 May 08:49:49 - [error] [function:ms_RecalcTotLots] dbErrorEnd - Error: Query execution was interrupted (max_statement_time exceeded)

2026/05/07 08:49:34,stderr,"TBaseMacchinaStatiDB: QueryRetry raggiunto queryW.retryMax: {\"uuid\":null,\"query\":\"WITH qq AS (select DATE_FORMAT('2026-05-07', '%Y-%m-%d') AS DD, fx_DateTimeToStr(fx_DateNormalizeByMachine(DATE_FORMAT('2026-05-07', '%Y-%m-%d'), 'c05dcd762e4b4b5a99224c48445d7683')) AS DD_START) SELECT DD, DD_START, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_DateEndDay('2026-05-07'), 'c05dcd762e4b4b5a99224c48445d7683')) AS DD_END, YEAR( '2026-05-07' ) AS YY, WEEKOFYEAR( '2026-05-07' ) AS WW, MONTH ( '2026-05-07' ) AS MM, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_WeekToDate (YEAR ( '2026-05-07' ), WEEKOFYEAR( '2026-05-07' )), 'c05dcd762e4b4b5a99224c48445d7683')) AS WW_START, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_LastDateTimeInWeek ( '2026-05-07' ), 'c05dcd762e4b4b5a99224c48445d7683')) AS WW_END, fx_DateTimeToStr(fx_DateNormalizeByMachine(DATE_FORMAT('2026-05-07', '%Y-%m-01'), 'c05dcd762e4b4b5a99224c48445d7683')) AS MM_START, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_LastDateTimeInMonth( '2026-05-07' ), 'c05dcd762e4b4b5a99224c48445d7683')) AS MM_END FROM qq\",\"type\":null,\"state\":\"Idle\",\"qryResult\":null,\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/07 08:49:34,stderr,"TBaseMacchinaStatiDB: QueryTimeout0: {\"uuid\":null,\"query\":\"WITH qq AS (select DATE_FORMAT('2026-05-07', '%Y-%m-%d') AS DD, fx_DateTimeToStr(fx_DateNormalizeByMachine(DATE_FORMAT('2026-05-07', '%Y-%m-%d'), 'c05dcd762e4b4b5a99224c48445d7683')) AS DD_START) SELECT DD, DD_START, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_DateEndDay('2026-05-07'), 'c05dcd762e4b4b5a99224c48445d7683')) AS DD_END, YEAR( '2026-05-07' ) AS YY, WEEKOFYEAR( '2026-05-07' ) AS WW, MONTH ( '2026-05-07' ) AS MM, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_WeekToDate (YEAR ( '2026-05-07' ), WEEKOFYEAR( '2026-05-07' )), 'c05dcd762e4b4b5a99224c48445d7683')) AS WW_START, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_LastDateTimeInWeek ( '2026-05-07' ), 'c05dcd762e4b4b5a99224c48445d7683')) AS WW_END, fx_DateTimeToStr(fx_DateNormalizeByMachine(DATE_FORMAT('2026-05-07', '%Y-%m-01'), 'c05dcd762e4b4b5a99224c48445d7683')) AS MM_START, fx_DateTimeToStr(fx_DateNormalizeByMachine(fx_LastDateTimeInMonth( '2026-05-07' ), 'c05dcd762e4b4b5a99224c48445d7683')) AS MM_END FROM qq\",\"type\":null,\"state\":\"Idle\",\"qryResult\":null,\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/07 08:49:34,stderr,"TBaseMacchinaStatiDB: QueryRetry raggiunto queryW.retryMax: {\"uuid\":null,\"query\":\"SELECT MAX(lm.RECALCULATED_AT) AS LAST_RECALCULATED_AT, fx_DateTimeToStr(MAX(lm.RECALCULATED_AT)) AS LAST_RECALCULATED_AT_STR FROM LOT_MACHINE lm WHERE lm.MACHINE_ID = 'c05dcd762e4b4b5a99224c48445d7683';\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Error: Query execution was interrupted (max_statement_time exceeded)\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/07 08:49:18,stderr,"TBaseMacchinaStatiDB: QueryError0: {\"uuid\":null,\"query\":\"SELECT MAX(lm.RECALCULATED_AT) AS LAST_RECALCULATED_AT, fx_DateTimeToStr(MAX(lm.RECALCULATED_AT)) AS LAST_RECALCULATED_AT_STR FROM LOT_MACHINE lm WHERE lm.MACHINE_ID = 'c05dcd762e4b4b5a99224c48445d7683';\",\"type\":null,\"state\":\"Err\",\"qryResult\":\"Error: Query execution was interrupted (max_statement_time exceeded)\",\"idx\":null,\"retryCount\":0,\"retryMax\":0}
"
2026/05/07 08:49:34,stdout,7 May 08:49:20 - [error] [function:ms_OEEtasks] dbError - null

2026/05/07 08:49:34,stdout,7 May 08:49:20 - [error] [function:ms_OEEtasks] dbErrorInit - null

2026/05/07 08:49:34,stdout,7 May 08:49:18 - [error] [function:ms_RecalcTotLots] dbError - Error: Query execution was interrupted (max_statement_time exceeded)

2026/05/07 08:49:34,stdout,7 May 08:49:18 - [error] [function:ms_RecalcTotLots] dbErrorInit - Error: Query execution was interrupted (max_statement_time exceeded)

2026/05/07 08:49:34,stdout,7 May 08:49:18 - [error] [function:ms_RecalcTotLots] QueryError - Error: Query execution was interrupted (max_statement_time exceeded)

2026/05/07 08:49:34,stdout,}

2026/05/07 08:49:34,stdout,  }

2026/05/07 08:49:34,stdout,      '    at Socket.Readable.push (node:internal/streams/readable:392:5)'

2026/05/07 08:49:34,stdout,      '    at readableAddChunkPushByteMode (node:internal/streams/readable:512:3)\n' +

2026/05/07 08:49:34,stdout,      '    at addChunk (node:internal/streams/readable:561:12)\n' +

2026/05/07 08:49:34,stdout,      '    at Socket.emit (node:events:524:28)\n' +

2026/05/07 08:49:34,stdout,      '    at Socket.<anonymous> (/data/node_modules/mysql2/lib/base/connection.js:100:25)\n' +

2026/05/07 08:49:34,stdout,      '    at PacketParser.executeStart (/data/node_modules/mysql2/lib/packet_parser.js:75:16)\n' +

2026/05/07 08:49:34,stdout,      '    at PacketParser.onPacket (/data/node_modules/mysql2/lib/base/connection.js:93:12)\n' +

2026/05/07 08:49:34,stdout,      '    at PoolConnection.handlePacket (/data/node_modules/mysql2/lib/base/connection.js:475:34)\n' +

2026/05/07 08:49:34,stdout,      '    at Query.execute (/data/node_modules/mysql2/lib/commands/command.js:29:26)\n' +

2026/05/07 08:49:34,stdout,      '    at Packet.asError (/data/node_modules/mysql2/lib/packets/packet.js:740:17)\n' +

2026/05/07 08:49:34,stdout,    stack: 'Error: Query execution was interrupted (max_statement_time exceeded)\n' +

2026/05/07 08:49:34,stdout,"    code: undefined,
"
2026/05/07 08:49:34,stdout,"    },
"
2026/05/07 08:49:34,stdout,      count: 1

2026/05/07 08:49:34,stdout,"      name: 'DBmain:QueriesExec',
"
2026/05/07 08:49:34,stdout,"      type: 'mysql',
"
2026/05/07 08:49:34,stdout,"      id: '9c22ea5298c90b4b',
"
2026/05/07 08:49:34,stdout,    source: {

2026/05/07 08:49:34,stdout,"    message: 'Error: Query execution was interrupted (max_statement_time exceeded)',
"
2026/05/07 08:49:34,stdout,  error: {

2026/05/07 08:49:34,stdout,"  _msgid: 'fc858d29e7558cb7',
"
2026/05/07 08:49:34,stdout,"  queryUrl: 'ms_RecalcTotLots.queryW',
"
2026/05/07 08:49:34,stdout,"  topic: \"SET STATEMENT max_statement_time = 9 FOR SELECT MAX(lm.RECALCULATED_AT) AS LAST_RECALCULATED_AT, fx_DateTimeToStr(MAX(lm.RECALCULATED_AT)) AS LAST_RECALCULATED_AT_STR FROM LOT_MACHINE lm WHERE lm.MACHINE_ID = 'c05dcd762e4b4b5a99224c48445d7683';\",
